Year;Occasion;Word;Option1;Option2;Option3;Option4;Option5;CorrectAnswer
2011;2;alarmerande;aggressiv;avskräckande;oroande;provocerande;uppfordrande;oroande
2011;2;axiom;grundsats;ensidighet;nytt perspektiv;visdomsord;jämvikt;grundsats
2011;2;fysionomi;själsliv;utseende;energiförbrukning;välbefi nnande;självbild;utseende
2011;2;förefalla;tyckas;tolka;anta;inträffa;påstå;tyckas
2011;2;grynna;boplats för djur;litet grund;hästsele;sagoväsen;kokkärl;litet grund
2011;2;hänföras;bli lurad;upplysas;förtjusas;förvirras;bli bortförd;förtjusas
2011;2;kanapé;smycke;vagn;bakverk;peruk;versmått;bakverk
2011;2;pittoresk;storslaget praktfull;välordnad;behagligt stillsam;gammaldags;charmigt idyllisk;charmigt idyllisk
2011;2;polenta;majsgryn;bröd;fårost;dryckeskärl;baljväxt;majsgryn
2011;2;remittera;ge eftervård;kalla till återbesök;hänvisa till specialist;ge upprepade behandlingar;återanpassa till arbetslivet;hänvisa till specialist
2011;2;repertoar;övningstillfälle;privat loge;scen;återutsändning;programutbud;programutbud
2011;2;schablonmässigt;invant och mekaniskt;snabbt och fartfyllt;lugnt och rogivande;kortfattat och sakligt;stelt och behärskat;invant och mekaniskt
2011;2;seraf;ängel;demon;furste;krigare;trollkarl;ängel
2011;2;särdeles;bara;ganska;utomordentligt;tveksamt;tudelat;utomordentligt
2011;2;ta i anspråk;förmoda;nyttja;tillrättavisa;besluta;önska;nyttja
2011;2;tvehågsen;obeslutsam;mångbottnad;tvåfaldig;konfl ikträdd;dubbeltydig;obeslutsam
2011;2;utfall;ersättning;möjlighet;sannolikhet;avvikelse;resultat;resultat
2011;2;utfästelse;tomt hot;kungligt valspråk;orimligt krav;avslöjande;offentligt löfte;offentligt löfte
2012;1;bejaka;bevisa att något är sant;säga sin mening;ge förlåtelse;vara positiv till;bete sig inställsamt;vara positiv till
2012;1;bohemisk;sökande;obunden av normer;hemkär;öppen för idéer;vemodig;obunden av normer
2012;1;cellofan;täckmassa;omslagsmaterial;hudplåster;absorberande material;lösningsmedel;omslagsmaterial
2012;1;enkom;framför allt;bestämt;med besvär;uteslutande;uppenbarligen;uteslutande
2012;1;friska i;tillta i styrka;ta sig an något nytt;förbättra;gripa tag i;gå till överdrift;tillta i styrka
2012;1;gäckande;retfullt;envist;fåfängt;lustigt;ivrigt;retfullt
2012;1;jökel;vulkan;brant stup;glaciär;liten kulle;bäck;glaciär
2012;1;kortege;förtrupp;konstutställning;långt följe;utomhusteater;slutet sällskap;långt följe
2012;1;kännbar;lättsam;mottaglig;förmodad;påtaglig;utmärkande;påtaglig
2012;1;lagfart;arbetstillstånd;snabbt överklagande;inregistrering av fastighetsköp;högsta tillåtna hastighet;gällande lagstiftning;inregistrering av fastighetsköp
2012;1;omedgörlig;impulsiv;obeveklig;handlingsförlamad;obehärskad;mekanisk;obeveklig
2012;1;pastörisera;tömma;konservera;fi nfördela;upphetta;skumma;upphetta
2012;1;pseudo-;evig;oäkta;upphöjd;själslig;föråldrad;oäkta
2012;1;strata;mätning;skikt;fakta;skydd;strålning;skikt
2012;1;supera;berusa sig;fullborda något;äta en sen måltid;göra sitt bästa;överdriva;äta en sen måltid
2012;1;sympatisör;medbrottsling;livsnjutare;anhängare;samordnare;jämlike;anhängare
2012;1;tillstymmelse;komplement;föraning;beskyllning;antydan;likhet;antydan
2012;1;vanmakt;osjälvständighet;skamkänsla;respektlöshet;lidande;hjälplöshet;hjälplöshet
2012;2;aladåb;prydnadssten;havslevande djur;kall maträtt;allvetande person;prästdräkt;kall maträtt
2012;2;andemening;egentlig innebörd;själfullt yttrande;avvikande uppfattning;vag betydelse;religiös idé;egentlig innebörd
2012;2;dragplåster;häftmassa;attraktion vid evenemang;fiskeredskap;påträngande person;överdrag;attraktion vid evenemang
2012;2;endogen;inifrån kommande;tvåkönad;tydligt avgränsad;avsiktlig;ofta förekommande;inifrån kommande
2012;2;flärd;smicker;ytlig prakt;rikedom;spänning;tomt prat;ytlig prakt
2012;2;förfaras;bli oanvändbar;ta slut;upplösas;få nog;bli bortskämd;ta slut
2012;2;glukos;vegetabiliskt fett;mineralämne;fruktsyra;druvsocker;mjölkprotein;druvsocker
2012;2;lägga sordin på;förstärka;dölja;utsmycka;dämpa;slutföra;dämpa
2012;2;moderator;mellanchef;skulptör;auktionsutropare;debattledare;kläddesigner;debattledare
2012;2;nihilist;en som vägrar bära vapen;en som njuter av plågor;en som förnekar normer;en som lever i isolering;en som inte vill äga något;en som förnekar normer
2012;2;restriktion;motståndskraft;återkoppling;kvarhållande;inskränkning;påtryckning;inskränkning
2012;2;singel;grus;metall;gräsfrö;mynt;urdjur;grus
2012;2;subventionera;beställa;stödja ekonomiskt;meddela;utse en ersättare;beskatta;stödja ekonomiskt
2012;2;svarande;sakkunnig;pressansvarig;part i rättegång;argumentationsexpert;nämndeman;part i rättegång
2012;2;till gagn;till nöds;till nackdel;till glädje;till nytta;till vägledning;till nytta
2012;2;uppskörtad;lurad att betala för mycket;spänd av förväntan;fullständigt utmattad;tvingad att agera;rädd utan anledning;lurad att betala för mycket
2012;2;urskulda;försämra;försöka;förtala;förtjäna;försvara;försvara
2012;2;veterligen;följaktligen;möjligtvis;såvitt känt;absolut;visserligen;såvitt känt
2013;1;allusion;anpassning;drömbild;tillägg;förvirring;anspelning;anspelning
2013;1;brukare;ledamot;vårdtagare;medlare;hantlangare;trädgårdsmästare;vårdtagare
2013;1;derivera;förstora;härleda;inskjuta;tillägga;överföra;härleda
2013;1;förbehåll;villkor;ursäkt;misstanke;omvärdering;ställningstagande;villkor
2013;1;förekomst;ursprung;fenomen;orsak;möjlighet;existens;existens
